Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	3.864660	3.579713	10.224000	13.910000	
0.100000	3.143109	2.926835	21.723999	26.480000	
0.100000	2.624537	2.624214	31.391998	33.139999	
0.100000	2.309283	2.465160	38.506001	36.419998	
0.100000	2.093135	2.139260	43.219997	43.389999	
0.100000	1.935792	2.049133	46.815998	45.279999	
0.100000	1.825006	1.964008	49.553997	47.789997	
0.100000	1.730006	1.918535	51.949997	49.169998	
0.100000	1.652777	1.968040	53.487999	49.459999	
0.100000	1.588648	1.831717	55.306000	51.359997	
0.100000	1.542326	1.739780	56.481998	53.289997	
0.100000	1.496380	1.787478	57.652000	52.919998	
0.100000	1.461056	1.657176	58.461998	54.849998	
0.100000	1.418580	1.737057	59.257999	53.739998	
0.100000	1.393368	1.669938	60.195999	54.649998	
0.100000	1.365768	1.646478	61.033997	55.809998	
0.100000	1.350750	1.584973	61.227997	56.829998	
0.100000	1.317925	1.582933	62.091999	57.149998	
0.100000	1.298091	1.571557	62.279999	57.449997	
0.100000	1.286962	1.571506	62.939999	57.439999	
0.100000	1.254836	1.511013	63.871998	58.559998	
0.100000	1.257219	1.532016	63.651997	57.869999	
0.100000	1.236805	1.684250	64.105995	55.689999	
0.100000	1.225407	1.612902	64.500000	57.029999	
0.100000	1.208219	1.580894	64.835999	57.230000	
0.100000	1.196941	1.508655	65.375999	59.919998	
0.100000	1.191619	1.528682	65.283997	59.199997	
0.100000	1.168861	1.416722	65.944000	61.090000	
0.100000	1.172237	1.631723	65.862000	56.489998	
0.100000	1.157088	1.592413	66.372002	57.299999	
0.100000	1.146410	1.570765	66.411995	58.399998	
0.100000	1.131019	1.511396	66.961998	59.019997	
0.100000	1.130776	1.517139	66.942001	59.239998	
0.100000	1.115438	1.736780	67.493996	55.799999	
0.100000	1.113643	1.522219	67.435997	59.539997	
0.100000	1.114974	1.532492	67.243996	59.269997	
0.100000	1.095882	1.562307	67.909996	58.769997	
0.100000	1.094045	1.529415	67.858002	58.980000	
0.100000	1.084731	1.438552	68.059998	61.199997	
0.100000	1.083660	1.561404	68.262001	59.660000	
0.100000	1.080570	1.620425	68.208000	57.989998	
0.100000	1.072599	1.462665	68.479996	60.590000	
0.100000	1.064823	1.417186	68.757996	61.320000	
0.100000	1.058229	1.562019	68.774002	59.109997	
0.100000	1.056735	1.496096	68.853996	60.989998	
0.100000	1.048839	1.426803	69.195999	61.199997	
0.100000	1.050058	1.378723	68.991997	61.779999	
0.100000	1.043631	1.702008	69.077995	57.840000	
0.100000	1.040531	1.448750	69.139999	61.199997	
0.100000	1.034382	1.512173	69.472000	59.789997	
0.100000	1.035200	1.428264	69.493996	61.359997	
0.100000	1.021874	1.479213	69.687996	59.859997	
0.100000	1.019910	1.370358	69.596001	62.739998	
0.100000	1.027352	1.415439	69.375999	61.849998	
0.100000	1.017825	1.421407	70.082001	61.160000	
0.100000	1.012266	1.392146	69.820000	62.549999	
0.100000	1.016050	1.484274	69.720001	60.139999	
0.100000	1.002831	1.618207	70.245995	57.899998	
0.100000	1.011150	1.549538	70.056000	59.879997	
0.100000	0.996669	1.496813	70.353996	59.969997	
0.100000	1.005807	1.409727	70.171997	61.570000	
0.100000	1.005480	1.403377	70.066002	62.169998	
0.100000	0.991560	1.336448	70.594002	62.840000	
0.100000	0.989478	1.368641	70.748001	63.219997	
0.100000	0.993884	1.514638	70.540001	59.459999	
0.100000	0.994424	1.497114	70.451996	60.949997	
0.100000	0.992772	1.610460	70.587997	58.709999	
0.100000	0.986550	1.355800	70.650002	63.029999	
0.100000	0.986723	1.376665	70.776001	63.789997	
0.100000	0.980447	1.577427	70.715996	59.410000	
0.100000	0.969852	1.409032	70.839996	61.649998	
0.100000	0.979866	1.462487	70.939995	61.629997	
0.100000	0.978444	1.380520	70.897995	63.119999	
0.100000	0.968003	1.539340	71.159996	60.090000	
0.100000	0.968716	1.435529	71.113998	61.239998	
0.100000	0.967273	1.453694	71.372002	61.869999	
0.100000	0.968373	1.508819	71.071999	60.730000	
0.100000	0.974544	1.502547	70.655998	60.879997	
0.100000	0.965552	1.503717	71.189995	60.329998	
0.100000	0.964167	1.353860	71.306000	62.910000	
0.100000	0.968533	1.470269	71.231995	60.379997	
0.100000	0.957089	1.467122	71.561996	61.299999	
0.100000	0.950651	1.518447	71.559998	60.389999	
0.100000	0.960071	1.386721	71.451996	62.199997	
0.100000	0.956520	1.403314	71.316002	62.469997	
0.100000	0.953628	1.574291	71.486000	58.759998	
0.100000	0.955836	1.424087	71.421997	61.730000	
0.100000	0.951943	1.373862	71.629997	63.549999	
0.100000	0.948783	1.367314	71.447998	63.160000	
